Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-07-01 00:00:00+08:00,1255.9090576171875,1261.571044921875,1066.0439453125,1189.760009765625,0,0.0,0.0
1997-08-01 00:00:00+08:00,1191.6510009765625,1223.071044921875,1116.14794921875,1221.06396484375,0,0.0,0.0
1997-09-01 00:00:00+08:00,1224.177001953125,1264.489013671875,1025.1300048828125,1097.383056640625,0,0.0,0.0
1997-10-01 00:00:00+08:00,1100.699951171875,1241.8330078125,1087.0179443359375,1180.3929443359375,0,0.0,0.0
1997-11-01 00:00:00+08:00,1181.1619873046875,1213.22802734375,1114.137939453125,1139.6280517578125,0,0.0,0.0
1997-12-01 00:00:00+08:00,1137.5880126953125,1198.9739990234375,1119.2010498046875,1194.10205078125,0,0.0,0.0
1998-01-01 00:00:00+08:00,1200.947998046875,1250.0050048828125,1110.0870361328125,1222.9129638671875,0,0.0,0.0
1998-02-01 00:00:00+08:00,1257.9949951171875,1262.623046875,1189.512939453125,1206.530029296875,0,0.0,0.0
1998-03-01 00:00:00+08:00,1196.741943359375,1252.241943359375,1175.553955078125,1243.0159912109375,0,0.0,0.0
1998-04-01 00:00:00+08:00,1243.373046875,1343.4599609375,1240.0579833984375,1343.447998046875,0,0.0,0.0
1998-05-01 00:00:00+08:00,1353.0560302734375,1411.3470458984375,1324.7239990234375,1411.208984375,0,0.0,0.0
1998-06-01 00:00:00+08:00,1418.35400390625,1422.97900390625,1323.5279541015625,1339.2020263671875,0,0.0,0.0
1998-07-01 00:00:00+08:00,1363.2650146484375,1367.14697265625,1278.301025390625,1316.9189453125,0,0.0,0.0
1998-08-01 00:00:00+08:00,1315.135009765625,1315.469970703125,1043.02197265625,1150.2230224609375,0,0.0,0.0
1998-09-01 00:00:00+08:00,1142.5,1264.39794921875,1123.635009765625,1242.89599609375,0,0.0,0.0
1998-10-01 00:00:00+08:00,1245.737060546875,1263.7130126953125,1191.5570068359375,1217.3160400390625,0,0.0,0.0
1998-11-01 00:00:00+08:00,1217.3380126953125,1300.1519775390625,1210.845947265625,1247.4169921875,0,0.0,0.0
1998-12-01 00:00:00+08:00,1249.0069580078125,1251.8680419921875,1125.5589599609375,1146.699951171875,0,0.0,0.0
1999-01-01 00:00:00+08:00,1144.887939453125,1174.427001953125,1104.5009765625,1134.6729736328125,0,0.0,0.0
1999-02-01 00:00:00+08:00,1131.6510009765625,1131.6600341796875,1064.1739501953125,1090.0870361328125,0,0.0,0.0
1999-03-01 00:00:00+08:00,1092.14501953125,1177.3409423828125,1084.156005859375,1158.053955078125,0,0.0,0.0
1999-04-01 00:00:00+08:00,1158.6810302734375,1210.0999755859375,1087.7939453125,1120.927001953125,0,0.0,0.0
1999-05-01 00:00:00+08:00,1120.907958984375,1303.47998046875,1047.8330078125,1279.3260498046875,0,0.0,0.0
1999-06-01 00:00:00+08:00,1283.300048828125,1756.1839599609375,1259.008056640625,1689.427978515625,0,0.0,0.0
1999-07-01 00:00:00+08:00,1678.8380126953125,1678.8380126953125,1471.509033203125,1601.458984375,0,0.0,0.0
1999-08-01 00:00:00+08:00,1607.06201171875,1658.68994140625,1546.8370361328125,1627.115966796875,0,0.0,0.0
1999-09-01 00:00:00+08:00,1627.821044921875,1695.64404296875,1556.740966796875,1570.7020263671875,0,0.0,0.0
1999-10-01 00:00:00+08:00,1568.238037109375,1568.375,1452.708984375,1504.56298828125,0,0.0,0.0
1999-11-01 00:00:00+08:00,1501.7349853515625,1506.9940185546875,1427.3580322265625,1434.9730224609375,0,0.0,0.0
1999-12-01 00:00:00+08:00,1434.97802734375,1461.8990478515625,1341.052001953125,1366.5799560546875,0,0.0,0.0
2000-01-01 00:00:00+08:00,1368.6929931640625,1547.7080078125,1361.2139892578125,1534.9969482421875,0,0.0,0.0
2000-02-01 00:00:00+08:00,1591.4449462890625,1770.8800048828125,1583.58203125,1714.5780029296875,0,0.0,0.0
2000-03-01 00:00:00+08:00,1720.5970458984375,1811.06298828125,1596.072021484375,1800.2249755859375,0,0.0,0.0
2000-04-01 00:00:00+08:00,1799.574951171875,1858.2650146484375,1746.302001953125,1836.321044921875,0,0.0,0.0
2000-05-01 00:00:00+08:00,1848.1729736328125,1908.3060302734375,1695.531005859375,1894.553955078125,0,0.0,0.0
2000-06-01 00:00:00+08:00,1900.532958984375,1953.3389892578125,1884.615966796875,1928.10595703125,0,0.0,0.0
2000-07-01 00:00:00+08:00,1917.4420166015625,2024.998046875,1888.2490234375,2023.5389404296875,0,0.0,0.0
2000-08-01 00:00:00+08:00,2027.012939453125,2114.52197265625,1980.344970703125,2021.198974609375,0,0.0,0.0
